project,snapshot,date,cyclic_module
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/App
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/DevTools
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/AutoDetection
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/Barcode
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/Favorite
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/FindRetaurants
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/FoodNews
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/FoodPhoto
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/Games
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/History
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/MenuScan
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/MyMenuCal
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/MyMenuCal/Analytics
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/ReceiptScan
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/ReceiptScan/DishCalorie
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/Recipes
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/Recipes/RecipeDetail
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/Recipes/RecipeEditor
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/Recipes/RecipeGrid
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/Recipes/RecipeGrid/MyRecipe
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/Recipes/Search
MenuCal,MenuCal_backup_20260104,2026-01-04,MenuCal/MenuCal_backup_20260104/Features/Setting
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/App
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/App/Consent
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/DevTools
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/Agent
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/AutoDetection
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/Barcode
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/Favorite
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/FindRetaurants
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/FoodNews
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/FoodPhoto
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/Games
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/History
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/MenuScan
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/MyMenuCal
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/MyMenuCal/Analytics
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/ReceiptScan
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/ReceiptScan/DishCalorie
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/Recipes
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/Recipes/RecipeDetail
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/Recipes/RecipeEditor
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/Recipes/RecipeGrid
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/Recipes/RecipeGrid/MyRecipe
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/Recipes/Search
MenuCal,MenuCal_backup_20260105,2026-01-05,MenuCal/MenuCal_backup_20260105/Features/Setting
